CaseID,CaseType,CourtLevel,FilingDate,ServiceDate,FirstHearingDate,ResolutionDate,Disposition,IsAppealed,MonetaryAmount
CIV-100000,Eviction,State,2022-03-04,2022-03-08,2022-03-21,2022-06-29,Settled,True,89271.87
CIV-100001,Contract Dispute,Municipal,2015-12-23,2016-01-11,2016-03-15,2016-04-22,Settled,True,3140.33
CIV-100002,Employment Dispute,State,2017-03-25,2017-04-17,2017-07-19,2018-01-04,Judgment for Defendant,False,0.0
CIV-100003,Employment Dispute,Superior,2015-01-27,2015-02-21,2015-06-14,2015-08-23,Judgment for Plaintiff,True,76467.67
CIV-100004,Medical Malpractice,Superior,2016-02-23,2016-02-26,2016-04-24,2016-06-17,Default Judgment,False,0.0
CIV-100005,Employment Dispute,Municipal,2023-03-08,2023-03-23,2023-06-09,2023-08-09,Default Judgment,False,0.0
CIV-100006,Small Claims,State,2021-12-08,2022-01-06,2022-05-06,2022-09-05,Transferred,True,23175.88
CIV-100007,Personal Injury,Appellate,2018-03-31,2018-04-03,2018-07-31,2018-10-28,Judgment for Plaintiff,False,36800.8
CIV-100008,Personal Injury,Federal District,2019-02-25,2019-03-09,2019-04-14,2019-07-21,Transferred,True,24858.69
CIV-100009,Eviction,Superior,2020-03-08,2020-03-21,2020-05-04,2020-10-23,Dismissed,True,0.0
CIV-100010,Eviction,Federal District,2018-07-16,2018-07-29,2018-09-11,2018-10-27,Transferred,False,50173.51
CIV-100011,Property Damage,State,2022-03-18,2022-04-02,2022-04-30,2022-08-05,Transferred,False,0.0
CIV-100012,Medical Malpractice,State,2019-10-21,2019-11-19,2020-02-11,2020-06-22,Settled,False,5188.08
CIV-100013,Employment Dispute,Federal District,2016-03-25,2016-03-30,2016-06-28,2016-09-06,Dismissed,False,99614.08
CIV-100014,Personal Injury,Federal District,2020-12-07,2020-12-16,2021-03-06,2021-04-07,Judgment for Plaintiff,False,43759.14
CIV-100015,Housing Code Violation,State,2020-02-02,2020-02-03,2020-05-15,2020-08-20,Default Judgment,True,0.0
CIV-100016,Small Claims,State,2018-05-07,2018-06-03,2018-09-02,2019-02-08,Settled,False,0.0
CIV-100017,Small Claims,Superior,2021-01-18,2021-02-12,2021-04-30,2021-05-30,Judgment for Defendant,True,36616.59
CIV-100018,Small Claims,Municipal,2018-06-13,2018-06-21,2018-07-08,2018-10-07,Dismissed,False,0.0
CIV-100019,Property Damage,Appellate,2023-07-13,2023-07-31,2023-11-16,2024-01-17,Default Judgment,True,87307.09
CIV-100020,Debt Collection,Appellate,2019-09-30,2019-10-07,2019-12-25,2020-03-15,Transferred,False,51998.8
CIV-100021,Medical Malpractice,Municipal,2016-05-10,2016-05-18,2016-06-25,2016-08-10,Default Judgment,True,1215.49
CIV-100022,Personal Injury,Municipal,2022-12-09,2022-12-30,2023-01-16,2023-04-14,Judgment for Plaintiff,True,28208.49
CIV-100023,Small Claims,Federal District,2020-06-11,2020-06-18,2020-09-05,2020-11-07,Judgment for Defendant,True,0.0
CIV-100024,Employment Dispute,Superior,2019-07-26,2019-08-02,2019-08-24,2019-10-17,Judgment for Defendant,False,73043.05
CIV-100025,Contract Dispute,Appellate,2022-07-21,2022-08-11,2022-11-11,2023-01-05,Transferred,False,0.0
CIV-100026,Housing Code Violation,Appellate,2016-03-23,2016-03-31,2016-05-04,2016-07-21,Settled,False,46531.49
CIV-100027,Personal Injury,Municipal,2015-11-05,2015-11-20,2016-03-12,2016-08-29,Transferred,True,0.0
CIV-100028,Employment Dispute,Appellate,2023-06-14,2023-07-12,2023-08-21,2023-11-01,Judgment for Defendant,True,0.0
CIV-100029,Employment Dispute,Superior,2015-08-29,2015-09-04,2015-11-01,2015-12-01,Judgment for Defendant,False,95753.11
CIV-100030,Property Damage,State,2023-10-14,2023-11-01,2024-02-03,2024-07-06,Judgment for Plaintiff,True,0.0
CIV-100031,Medical Malpractice,Municipal,2021-06-30,2021-07-24,2021-10-11,2021-11-25,Dismissed,False,85345.63
CIV-100032,Property Damage,Municipal,2016-10-06,2016-10-08,2016-12-22,2017-02-10,Default Judgment,True,23902.79
CIV-100033,Small Claims,Federal District,2016-05-06,2016-06-04,2016-08-25,2016-11-26,Dismissed,True,58575.39
CIV-100034,Medical Malpractice,State,2020-11-11,2020-11-22,2021-01-04,2021-03-27,Judgment for Plaintiff,False,64727.33
CIV-100035,Contract Dispute,Appellate,2020-02-16,2020-02-27,2020-06-12,2020-07-30,Default Judgment,True,21708.85
CIV-100036,Eviction,Superior,2017-12-22,2017-12-27,2018-02-19,2018-04-07,Judgment for Plaintiff,True,54550.19
CIV-100037,Contract Dispute,Federal District,2018-05-24,2018-06-13,2018-10-04,2019-03-18,Judgment for Plaintiff,True,0.0
CIV-100038,Housing Code Violation,State,2016-07-04,2016-07-13,2016-08-06,2016-10-02,Judgment for Plaintiff,False,71902.41
CIV-100039,Housing Code Violation,Appellate,2017-04-13,2017-05-05,2017-08-04,2017-11-09,Judgment for Plaintiff,True,42645.79
CIV-100040,Property Damage,Superior,2018-02-07,2018-02-09,2018-02-19,2018-06-14,Settled,False,43054.85
CIV-100041,Housing Code Violation,Municipal,2015-02-09,2015-02-13,2015-03-04,2015-05-11,Judgment for Plaintiff,True,4661.97
CIV-100042,Medical Malpractice,State,2019-02-02,2019-03-03,2019-06-22,2019-08-01,Transferred,True,35691.02
CIV-100043,Eviction,State,2021-04-12,2021-05-11,2021-07-12,2021-09-19,Settled,False,73788.16
CIV-100044,Debt Collection,State,2018-09-22,2018-10-18,2018-12-19,2019-03-22,Transferred,True,4353.1
CIV-100045,Medical Malpractice,Superior,2020-04-11,2020-04-19,2020-05-24,2020-10-18,Settled,True,19716.41
CIV-100046,Debt Collection,Superior,2018-09-06,2018-09-15,2019-01-13,2019-03-01,Transferred,False,84444.29
CIV-100047,Property Damage,Federal District,2018-09-18,2018-09-19,2018-10-13,2019-01-17,Judgment for Plaintiff,True,43739.09
CIV-100048,Small Claims,Federal District,2023-03-04,2023-03-30,2023-05-19,2023-10-07,Dismissed,False,0.0
CIV-100049,Contract Dispute,Federal District,2017-02-17,2017-02-26,2017-03-13,2017-08-01,Default Judgment,True,7462.39
CIV-100050,Personal Injury,Superior,2022-06-13,2022-07-13,2022-09-03,2022-12-22,Default Judgment,False,32955.2
CIV-100051,Eviction,Appellate,2022-10-26,2022-11-05,2023-01-24,2023-03-27,Transferred,False,90329.15
CIV-100052,Housing Code Violation,Municipal,2021-11-26,2021-12-15,2022-02-01,2022-06-14,Judgment for Plaintiff,False,78683.0
CIV-100053,Family Law,Appellate,2021-10-20,2021-11-10,2021-12-31,2022-05-29,Transferred,True,79476.67
CIV-100054,Debt Collection,Federal District,2023-12-05,2023-12-29,2024-01-29,2024-03-20,Transferred,False,95223.97
CIV-100055,Eviction,State,2017-08-20,2017-09-11,2017-10-30,2018-01-25,Dismissed,True,47776.07
CIV-100056,Small Claims,State,2023-08-14,2023-08-17,2023-10-24,2024-03-08,Transferred,False,24776.45
CIV-100057,Employment Dispute,State,2022-05-11,2022-06-03,2022-06-13,2022-08-09,Settled,False,25295.23
CIV-100058,Housing Code Violation,Federal District,2016-05-12,2016-05-27,2016-06-23,2016-11-18,Default Judgment,False,0.0
CIV-100059,Employment Dispute,Federal District,2019-12-18,2020-01-07,2020-04-30,2020-10-06,Judgment for Defendant,True,0.0
CIV-100060,Debt Collection,Federal District,2020-04-28,2020-05-13,2020-06-25,2020-09-26,Judgment for Defendant,True,8209.59
CIV-100061,Medical Malpractice,Federal District,2018-03-16,2018-03-24,2018-05-07,2018-08-30,Dismissed,True,38612.01
CIV-100062,Employment Dispute,Appellate,2016-09-17,2016-10-10,2016-11-16,2017-01-01,Judgment for Plaintiff,False,21080.02
CIV-100063,Contract Dispute,Federal District,2019-09-17,2019-09-30,2020-01-16,2020-07-13,Judgment for Defendant,False,35500.0
CIV-100064,Housing Code Violation,Federal District,2023-06-14,2023-06-27,2023-10-24,2024-03-09,Default Judgment,True,27657.06
CIV-100065,Employment Dispute,State,2020-06-12,2020-06-13,2020-08-11,2020-12-05,Judgment for Defendant,True,0.0
CIV-100066,Contract Dispute,Municipal,2020-12-27,2020-12-28,2021-02-26,2021-08-19,Transferred,False,46439.0
CIV-100067,Eviction,Appellate,2015-07-25,2015-08-03,2015-09-30,2016-01-21,Judgment for Plaintiff,False,0.0
CIV-100068,Debt Collection,Municipal,2019-04-02,2019-04-11,2019-07-26,2019-12-10,Judgment for Defendant,True,0.0
CIV-100069,Contract Dispute,Municipal,2015-08-02,2015-08-14,2015-09-21,2015-11-07,Settled,True,0.0
CIV-100070,Family Law,Municipal,2021-12-19,2021-12-24,2022-02-02,2022-04-05,Default Judgment,True,25996.25
CIV-100071,Property Damage,Superior,2019-02-19,2019-02-25,2019-05-23,2019-07-21,Dismissed,True,0.0
CIV-100072,Eviction,Municipal,2021-06-16,2021-07-08,2021-09-04,2022-01-13,Default Judgment,True,77361.85
CIV-100073,Small Claims,Municipal,2022-09-03,2022-09-23,2023-01-14,2023-03-15,Judgment for Plaintiff,False,7361.2
CIV-100074,Family Law,Municipal,2022-04-06,2022-04-17,2022-04-28,2022-09-12,Judgment for Defendant,False,82956.38
CIV-100075,Housing Code Violation,Superior,2022-12-07,2022-12-12,2023-02-15,2023-05-01,Default Judgment,False,82660.59
